"id","committer","comunity","star","watcher","pull_request","dpdp","pdp"
"17530","67","246","3395","3559","1601","TRUE","TRUE"
"11351","46","50","72","61","314","TRUE","FALSE"
"200350","153","275","772","326","294","TRUE","TRUE"
"48016","244","288","188","171","195","FALSE","TRUE"
"51883","206","322","3450","2085","179","TRUE","TRUE"
"8493","122","185","8373","3882","165","FALSE","FALSE"
"145438","91","282","929","720","149","TRUE","TRUE"
"153447","56","101","331","184","146","TRUE","TRUE"
"15058","45","194","1378","599","139","TRUE","TRUE"
"43843","5","5","6","7","131","TRUE","TRUE"
"65891","73","209","785","520","129","TRUE","TRUE"
"25776","62","116","1194","590","111","TRUE","FALSE"
"8343","68","357","5087","2528","106","TRUE","TRUE"
"48695","92","103","3469","2589","105","FALSE","FALSE"
"53090","96","123","464","324","104","TRUE","TRUE"
"59698","126","161","1491","1140","100","FALSE","FALSE"
"96195","11","28","43","15","95","TRUE","TRUE"
"30351","82","138","426","326","86","TRUE","TRUE"
"38627","82","221","1157","807","84","TRUE","TRUE"
"18095","37","48","66","75","79","TRUE","TRUE"
"29933","86","238","1075","661","74","TRUE","TRUE"
"21512","12","25","1406","312","62","TRUE","TRUE"
"11186","112","154","424","311","61","TRUE","TRUE"
"41214","38","64","184","148","55","TRUE","TRUE"
"82473","26","80","503","365","54","TRUE","TRUE"
"50301","42","74","3560","2234","51","TRUE","TRUE"
"87701","3","3","6","7","51","TRUE","TRUE"
"48218","61","192","1662","881","50","TRUE","TRUE"
"27373","17","30","52","38","50","TRUE","TRUE"
"78911","39","78","115","101","49","TRUE","TRUE"
"125379","31","45","17","18","49","TRUE","TRUE"
"71238","20","79","321","128","47","TRUE","TRUE"
"73107","29","46","35","31","46","TRUE","TRUE"
"106099","52","60","117","81","46","FALSE","FALSE"
"174480","28","34","97","89","43","TRUE","TRUE"
"66148","1","1","57","59","42","FALSE","FALSE"
"9593","27","27","32","19","42","FALSE","FALSE"
"201269","6","7","10","7","41","TRUE","TRUE"
"53501","11","19","286","123","41","FALSE","FALSE"
"29675","30","47","216","165","37","TRUE","TRUE"
"44543","5","5","4","1","36","FALSE","TRUE"
"27031","22","28","141","108","36","TRUE","TRUE"
"200621","8","9","54","43","35","TRUE","TRUE"
"116629","42","91","1016","652","35","TRUE","TRUE"
"121166","3","14","13","7","35","TRUE","TRUE"
"9113","36","57","1436","810","34","TRUE","TRUE"
