id,committer,comunity,star,watcher,pull_request
17530,67,246,3395,3559,1601
11351,46,50,72,61,314
200350,153,275,772,326,294
48016,244,288,188,171,195
51883,206,322,3450,2085,179
8493,122,185,8373,3882,165
145438,91,282,929,720,149
153447,56,101,331,184,146
15058,45,194,1378,599,139
43843,5,5,6,7,131
65891,73,209,785,520,129
25776,62,116,1194,590,111
8343,68,357,5087,2528,106
48695,92,103,3469,2589,105
53090,96,123,464,324,104
59698,126,161,1491,1140,100
96195,11,28,43,15,95
30351,82,138,426,326,86
38627,82,221,1157,807,84
18095,37,48,66,75,79
29933,86,238,1075,661,74
21512,12,25,1406,312,62
11186,112,154,424,311,61
41214,38,64,184,148,55
82473,26,80,503,365,54
50301,42,74,3560,2234,51
87701,3,3,6,7,51
48218,61,192,1662,881,50
27373,17,30,52,38,50
78911,39,78,115,101,49
125379,31,45,17,18,49
71238,20,79,321,128,47
73107,29,46,35,31,46
106099,52,60,117,81,46
174480,28,34,97,89,43
66148,1,1,57,59,42
9593,27,27,32,19,42
201269,6,7,10,7,41
53501,11,19,286,123,41
29675,30,47,216,165,37
44543,5,5,4,1,36
27031,22,28,141,108,36
200621,8,9,54,43,35
116629,42,91,1016,652,35
121166,3,14,13,7,35
9113,36,57,1436,810,34
108551,13,52,261,83,34
51058,11,13,99,99,34
53504,40,46,221,104,34
28867,28,82,258,218,34
90468,11,13,13,11,33
199836,25,25,91,73,32
123435,15,29,316,118,32
65838,28,53,156,125,31
19730,28,44,231,131,29
54895,4,4,20,14,28
129180,36,40,50,48,27
92288,16,37,67,60,26
89742,29,37,335,298,24
2768,17,18,8,7,23
82074,31,63,313,235,23
52291,19,29,1247,650,23
132288,21,25,32,22,22
8866,33,147,4243,2556,22
171527,4,4,29,17,21
29402,16,35,172,146,21
31259,44,68,239,189,21
84347,7,7,35,36,20
199275,18,26,20,21,19
68327,6,6,7,7,19
30129,34,45,159,101,19
53565,42,42,0,3,18
25624,24,27,870,555,18
37941,24,24,49,42,17
7895,7,9,2,3,17
10681,10,17,78,72,17
43593,19,33,420,280,17
51787,16,25,122,117,17
25926,8,15,573,71,16
102011,22,34,89,79,15
51160,20,45,25,25,15
29323,22,84,152,135,15
137570,6,7,2,2,14
39279,15,19,252,159,14
176622,26,41,192,142,14
177361,7,9,64,53,14
203312,4,6,37,27,13
40322,21,44,24,20,13
44524,39,41,7,6,13
117017,19,86,161,152,13
12038,21,22,156,89,12
13685,14,25,194,139,12
180037,11,31,80,63,12
182655,18,21,50,37,12
131063,5,10,28,35,12
204695,8,15,59,52,11
204869,8,12,13,12,11
44382,8,16,5,6,11
61663,59,77,670,508,11
164108,11,18,244,199,10
131732,15,25,35,36,10
22282,14,39,302,225,10
27039,15,33,115,104,10
59884,9,11,5,9,10
126928,4,6,6,5,10
195796,4,7,52,53,10
168190,5,5,0,35,9
105973,9,12,10,11,9
206975,5,10,220,95,9
10437,8,15,160,145,9
11684,17,23,823,497,9
81255,4,4,114,97,9
19721,8,25,193,135,9
54529,11,11,59,50,9
25642,4,26,57,48,9
