DPDP,id,star,watcher,committer,comunity,have_language,pull_request
TRUE,2039540,19,16,13,14,1,5
FALSE,2507876,1,0,1,1,1,0
TRUE,2510466,4,0,1,1,1,0
FALSE,2513340,1,0,1,1,0,0
TRUE,504263,493,389,62,131,1,57
TRUE,581464,3,3,10,10,1,1
TRUE,998009,1,1,1,1,1,0
FALSE,2508566,2,0,2,2,1,0
FALSE,2511199,2,0,3,3,1,0
TRUE,2514163,1,0,3,3,1,0
TRUE,758965,95,81,7,11,1,5
TRUE,1120860,5,2,1,1,1,0
FALSE,2347946,3,0,1,1,1,2
FALSE,2506576,3,0,2,2,0,0
FALSE,2511939,1,0,1,1,1,0
TRUE,2509509,1,0,1,1,1,0
TRUE,2512326,1,0,1,1,1,0
TRUE,2198716,2,1,1,1,1,0
FALSE,2510921,1,0,1,1,1,0
FALSE,2522670,1,0,2,2,1,0
TRUE,2146821,3,1,1,1,1,0
FALSE,2507556,2,0,1,1,0,0
TRUE,2512987,13,0,1,1,1,0
FALSE,2515962,1,0,1,1,1,0
FALSE,2513384,1,0,1,1,0,0
TRUE,772524,7,4,2,2,1,2
TRUE,1115437,9,5,1,1,1,0
FALSE,428582,9,4,1,1,1,1
FALSE,1035940,15,16,6,7,1,44
TRUE,2506697,3,1,2,2,1,0
TRUE,2515068,1,0,1,1,1,0
FALSE,2518050,1,0,2,2,1,0
TRUE,26814,24,16,1,1,1,0
TRUE,2221818,7,4,1,1,1,0
FALSE,2509150,1,0,1,1,1,0
FALSE,2511884,2,0,1,1,1,0
TRUE,2148012,4,4,1,1,1,0
TRUE,2510997,3,1,2,2,1,1
TRUE,157531,61,58,1,1,1,0
TRUE,2506710,1,0,1,1,1,0
FALSE,279570,59,34,7,8,1,11
TRUE,65838,156,125,28,53,1,31
FALSE,72879,2,2,8,8,1,0
TRUE,86103,11,7,1,2,1,0
FALSE,163916,0,1,1,1,1,0
TRUE,204869,13,12,8,12,1,11
TRUE,2229303,7,6,1,1,1,0
FALSE,2508728,1,0,1,1,1,0
FALSE,2511374,2,1,2,2,1,0
FALSE,2514347,1,0,2,2,1,0
TRUE,457634,8,4,3,3,1,1
FALSE,102072,1,1,2,2,1,0
FALSE,578361,13,7,1,1,1,0
FALSE,62890,86,82,2,2,1,0
FALSE,18095,66,75,37,48,1,79
FALSE,2508683,1,0,1,1,1,0
FALSE,2514289,1,0,1,1,1,0
TRUE,2517244,3,0,1,1,1,0
FALSE,740840,11,7,2,2,1,0
FALSE,1808105,4,3,2,2,0,1
TRUE,2491230,2,1,1,1,1,0
FALSE,1914445,6,3,2,2,1,1
TRUE,2508974,1,0,1,1,1,0
FALSE,2511662,1,0,1,1,1,0
TRUE,566635,14,10,1,1,1,0
FALSE,59884,5,9,9,11,1,10
FALSE,600837,5,3,2,2,1,0
TRUE,2506293,5,0,1,1,1,0
FALSE,2514649,58,39,3,5,1,0
FALSE,2520508,1,0,1,1,1,0
TRUE,201292,105,44,2,5,1,0
FALSE,2511918,1,0,3,3,1,0
TRUE,2511371,1,0,1,1,1,0
FALSE,2514342,2,1,1,1,0,0
TRUE,260315,6,1,5,6,1,3
TRUE,1591903,1,0,3,3,1,0
TRUE,2169918,3,1,1,1,1,0
TRUE,2512705,0,1,2,2,1,2
FALSE,1082517,59,50,2,2,1,0
FALSE,1281667,3,1,1,1,1,0
TRUE,2493397,1,0,1,1,1,0
FALSE,2509670,1,0,1,1,1,0
TRUE,2512476,2,1,5,5,1,0
TRUE,251751,9,10,2,2,1,1
FALSE,1037852,1,1,1,1,1,0
TRUE,19730,231,131,28,44,1,29
FALSE,2510120,2,0,1,1,1,0
TRUE,402292,2,4,1,1,1,0
FALSE,455423,2,0,3,3,1,2
TRUE,2513549,0,0,1,1,1,0
FALSE,2516446,1,0,1,1,1,0
TRUE,2519463,1,1,1,1,1,0
TRUE,427325,904,674,108,174,1,100
FALSE,2507865,1,0,1,1,1,0
FALSE,2513317,1,0,1,1,0,0
TRUE,139619,263,163,8,12,1,3
TRUE,2506928,1,0,1,1,1,0
TRUE,2512365,2,0,1,1,1,0
FALSE,1869070,1,1,1,1,1,0
TRUE,2016629,3,4,2,2,1,0
FALSE,2510575,1,0,1,1,1,0
FALSE,415221,1,1,1,1,1,0
TRUE,136621,3,3,6,6,1,1
TRUE,2226628,13,8,5,6,1,1
TRUE,2515385,3,1,1,1,1,0
TRUE,95298,34,28,2,2,1,5
TRUE,125379,17,18,31,45,1,49
FALSE,2230567,5,4,1,2,1,0
TRUE,2512306,1,0,1,2,1,0
FALSE,2515275,1,0,1,1,1,0
FALSE,2524277,0,0,1,1,1,0
FALSE,909039,20,15,2,2,0,1
FALSE,2347516,2,0,1,1,0,1
TRUE,2509089,1,1,1,1,1,0
FALSE,692274,1,2,1,1,1,0
FALSE,100977,5,7,3,3,1,0
FALSE,2508379,1,0,1,1,0,0
TRUE,2347630,5,2,4,4,1,3
FALSE,2514856,2,0,2,2,1,0
TRUE,491909,5,3,2,2,1,1
TRUE,85850,4,5,7,7,1,1
TRUE,88292,2,2,2,2,1,0
TRUE,2239921,3,3,5,84,1,12
FALSE,2510733,0,0,1,1,1,0
TRUE,2513636,1,0,2,2,1,0
TRUE,604079,8,2,2,2,1,1
TRUE,1113553,9,1,1,1,1,0
FALSE,2508386,1,0,1,1,1,0
FALSE,2511056,4,0,3,3,1,0
TRUE,47766,5,4,3,4,1,0
TRUE,675958,3,4,3,3,1,0
TRUE,1580476,18,16,9,9,1,16
FALSE,2323806,2,2,7,7,1,3
TRUE,1083102,9,4,3,3,1,3
TRUE,2146210,5,5,1,1,1,0
FALSE,2509734,1,0,1,1,1,0
FALSE,2512540,3,1,1,1,0,0
FALSE,1167079,5,2,1,1,1,0
FALSE,146811,3,4,1,1,1,0
TRUE,1585475,4,5,1,2,1,0
TRUE,2509619,1,0,1,1,1,0
TRUE,727707,17,16,3,5,1,2
FALSE,2506223,1,0,1,1,1,0
FALSE,2514576,1,0,1,1,0,0
FALSE,780671,116,99,13,16,1,30
TRUE,11741,25,21,3,3,1,1
TRUE,2514219,1,0,2,2,1,0
TRUE,355038,2,3,2,2,1,0
FALSE,2509138,1,0,1,1,1,0
TRUE,2514862,1,0,1,1,1,0
FALSE,649976,4,1,1,1,1,0
TRUE,1436699,22,11,2,4,1,1
FALSE,2507562,1,0,1,1,1,0
FALSE,2512008,1,0,1,1,1,0
TRUE,2514999,2,0,2,2,1,1
TRUE,1459121,34,30,6,8,1,7
