id,link,DPDP,PDP,Development project,Public project,Documented project,,,,,,,
,,,,,,Wiki,Website,How to use/install.,,,,Coding guidelines.,
,,,,,,,,Usage help,,Installaion details,,,
,,,,,,,,Steps to run the project,Contact email addresses,Commands to install project,Description of features for each component,Contribution guidelines,Coding configuration
6940,https://github.com/Sulcalibur/Responsive-Web-Design-Photoshop-Blueprint,FALSE,FALSE,0,1,0,1,1,0,0,0,0,0
7503,https://github.com/koshinuke/koshinuke,TRUE,TRUE,1,1,1,*1,1,0,1,0,0,1
9113,https://github.com/steelThread/redmon,TRUE,TRUE,1,1,0,0,1,0,1,1,0,1
10437,https://github.com/scotch/engineauth,TRUE,TRUE,1,1,0,1,1,*1,1,1,*1,1
10458,https://github.com/mindplay-dk/funit,TRUE,TRUE,1,1,0,0,1,0,1,0,0,1
11741,https://github.com/setumiami/mpeg-segmenter,TRUE,TRUE,1,1,0,0,1,0,1,1,0,1
11925,https://github.com/stratosk/semaphore,TRUE,TRUE,1,1,0,1,1,0,1,*1,0,1
13685,https://github.com/seomoz/pyreBloom,TRUE,TRUE,1,1,0,0,1,0,1,0,0,1
13895,https://github.com/hbaseinaction/twitbase,TRUE,TRUE,1,1,0,1,1,0,1,1,0,1
15058,https://github.com/github/gitscm-next,TRUE,TRUE,1,1,0,0,1,0,1,1,1,1
18095,https://github.com/arco/android_device_samsung_ancora,FALSE,TRUE,1,1,0,0,0,0,0,0,0,0
19294,https://github.com/matteosister/GitElephantDemoBundle,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0
19390,https://github.com/axelexic/SanboxInterposed,TRUE,TRUE,1,1,0,0,1,0,0,1,0,1
19721,https://github.com/Reactive-Extensions/rxjs-jquery,TRUE,TRUE,1,1,0,0,1,0,1,0,1,1
19730,https://github.com/ginader/HTML5-placeholder-polyfill,TRUE,TRUE,1,1,0,0,1,0,1,0,0,1
21512,https://github.com/github/Akavache,TRUE,TRUE,1,1,0,0,1,0,1,1,0,1
22140,https://github.com/trendrr/strest-server,TRUE,TRUE,1,1,0,0,1,0,1,0,0,0
23783,https://github.com/justinvh/Markdown-LaTeX,TRUE,TRUE,1,1,0,0,1,1,1,0,0,1
24914,https://github.com/myell0w/MTSlideViewController,FALSE,TRUE,1,1,0,0,0,0,0,0,0,0
24996,https://github.com/tokkonopapa/octopress-tagcloud,TRUE,TRUE,1,1,0,0,1,0,1,0,0,1
25249,https://github.com/jchristopher/hierarchy,TRUE,TRUE,1,1,0,1,1,0,0,0,0,1
25776,https://github.com/mapbox/maki,FALSE,FALSE,0,1,0,1,1,0,1,0,0,0
25926,https://github.com/jed/cookies,TRUE,TRUE,1,1,0,0,1,0,1,1,0,1
25974,https://github.com/aphyr/meangirls,TRUE,TRUE,1,1,0,0,1,0,1,1,0,0
26586,https://github.com/smaldini/grails-events-si,TRUE,TRUE,1,1,0,0,1,0,1,1,0,1
26814,https://github.com/enygma/usher,TRUE,TRUE,1,1,1,1,0,1,0,0,0,0
27031,https://github.com/edgecase/dieter,TRUE,TRUE,1,1,0,0,1,0,1,0,1,1
27123,https://github.com/antoniogarrote/semantic-ko,TRUE,TRUE,1,1,0,1,0,0,0,0,0,0
28024,https://github.com/spikeekips/source-over-ssh,TRUE,TRUE,1,1,0,0,1,0,1,*1,1,1
28311,https://github.com/rmaksim/Sublime-Text-2-Goto-CSS-Declaration,FALSE,FALSE,0,1,0,0,1,1,0,0,0,0
28867,https://github.com/renard/o-blog,FALSE,FALSE,1,0,0,1,0,0,0,0,0,0
29933,https://github.com/Julienh/Sharrre,TRUE,TRUE,1,1,0,0,1,1,1,0,1,1
30129,https://github.com/francesc/rails-translate-routes,TRUE,TRUE,1,1,0,0,1,*1,1,0,0,1
30351,https://github.com/jindw/xmldom,TRUE,TRUE,1,1,0,0,1,0,1,0,0,1
30794,https://github.com/AeroQuad/AeroQuadConfigurator,TRUE,TRUE,1,1,0,1,0,1,0,0,0,0
31259,https://github.com/chrisdew/protobuf,TRUE,TRUE,1,1,0,1,1,0,1,0,0,1
33949,https://github.com/yiping/DynaMechs,TRUE,TRUE,1,1,0,1,1,0,1,0,0,1
36555,https://github.com/arete/t2,FALSE,FALSE,1,0,0,1,0,0,0,0,0,0
37272,https://github.com/clickbeetle/cb_overlay,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0
38238,https://github.com/parkghost/TOTP-authentication-demo,FALSE,FALSE,1,0,0,1,1,*1,1,0,1,1
41434,https://github.com/Konubinix/Devel,FALSE,FALSE,0,0,0,0,1,0,0,1,0,0
43342,https://github.com/DanSmith/languagetags-sharp,TRUE,TRUE,1,1,1,0,0,0,0,0,0,0
43684,https://github.com/fczuardi/mongo-rest-demo,FALSE,FALSE,1,0,0,1,1,0,1,0,0,1
43843,https://github.com/opennode/opennode-knot,TRUE,TRUE,1,1,0,1,0,0,0,0,0,1
44021,https://github.com/EBISPOT/goci,TRUE,TRUE,1,1,0,0,1,0,1,1,0,1
44034,https://github.com/bfulgham/CallJS,FALSE,FALSE,1,0,0,0,1,0,0,0,0,0
44517,https://github.com/nickleroy/ironbee-dev-tools,FALSE,TRUE,1,1,0,0,0,0,0,0,0,0
44586,https://github.com/rexrainbow/C2Plugins,TRUE,TRUE,1,1,1,1,0,0,0,0,0,0
44874,https://github.com/semirook/flask-kit,TRUE,TRUE,1,1,0,0,1,0,1,1,0,1
45143,https://github.com/karlseguin/parse-dotnet,TRUE,TRUE,1,1,1,0,1,0,1,1,0,1
47766,https://github.com/mydlp/mydlp-ui,TRUE,TRUE,1,1,1,0,0,0,0,0,0,0
48218,https://github.com/schteppe/cannon.js,TRUE,TRUE,1,1,1,0,1,0,1,0,1,1
49927,https://github.com/wbbaddons/Dummy-App,FALSE,FALSE,1,0,1,0,0,0,0,0,0,0
51058,https://github.com/auraphp/Aura.Framework,FALSE,FALSE,1,0,1,0,0,0,0,0,0,0
51138,https://github.com/Jacek-S/CleanFS,FALSE,FALSE,0,0,0,0,1,0,0,0,0,1
51160,https://github.com/orangeshirt/gnome-shell-extension-touchpad-indicator,TRUE,TRUE,1,1,0,0,1,0,*1,0,1,*1
52291,https://github.com/codejoust/session.js,TRUE,TRUE,1,1,1,0,1,0,1,0,0,1
52683,https://github.com/mrmag518/iSafe,TRUE,TRUE,1,1,1,0,0,0,0,0,0,0
53090,https://github.com/sarumont/py-trello,TRUE,TRUE,1,1,0,0,1,0,1,0,0,1
53565,https://github.com/mantidproject/systemtests,FALSE,TRUE,1,1,0,0,0,0,0,0,0,0
54223,https://github.com/proycon/colibri,FALSE,FALSE,1,0,1,0,0,1,0,0,0,0
55440,https://github.com/dryade/user-interface,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0
59653,https://github.com/drue/King-James,TRUE,TRUE,1,1,0,0,0,0,0,1,0,0
59698,https://github.com/rogerdudler/git-guide,FALSE,FALSE,0,1,1,0,0,0,0,0,0,0
59781,https://github.com/rubychan/water,TRUE,TRUE,1,1,0,0,1,0,1,0,0,1
59884,https://github.com/STS-Dev-Team/android_device_motorola_umts_spyder,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0
60657,https://github.com/hiragi/dotfiles,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0
61517,https://github.com/NinGoo/flashstat,TRUE,TRUE,1,1,0,0,1,0,1,0,0,0
61569,https://github.com/rnk/dynamorio,FALSE,FALSE,1,0,1,0,1,0,1,0,0,1
61663,https://github.com/paulmillr/dotfiles,FALSE,FALSE,0,0,0,0,1,0,1,1,0,0
61987,https://github.com/rayo/rayo-server,TRUE,TRUE,1,1,1,1,0,0,0,0,0,0
62890,https://github.com/cofi/dotfiles,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0
217961,https://github.com/gooli/gitter,TRUE,TRUE,1,1,0,0,1,0,1,0,0,1
63969,https://github.com/Superbil/llvm.vim,TRUE,TRUE,1,1,0,0,1,0,0,0,0,1
64455,https://github.com/NightWhistler/HtmlSpanner,TRUE,TRUE,1,1,0,1,1,0,1,0,0,1
